     table_name      | column_count |                                                                                                                                                                                                                                                                  columns                                                                                                                                                                                                                                                                   
 FlowDefaults        |            6 | id, companyId, flowIdWelcome, flowIdNotPhrase, createdAt, updatedAt
 FlowImgs            |            6 | id, name, url, companyId, createdAt, updatedAt
 Helps               |            7 | id, title, description, video, link, createdAt, updatedAt
 Invoices            |           11 | id, detail, status, value, createdAt, updatedAt, dueDate, companyId, txId, payGw, payGwData
 Messages            |           23 | id, ack, read, fromMe, body, mediaUrl, mediaType, isDeleted, createdAt, updatedAt, messageId, ticketId, contactId, companyId, remoteJid, dataJson, stickerUrl, quotedMsgId, participant, edited, editedAt, isPrivate, scheduleDate
 Plans               |           20 | id, name, users, connections, queues, createdAt, updatedAt, value, useWhatsapp, useFacebook, useInstagram, useCampaigns, useSchedules, useInternalChat, useExternalApi, useKanban, useOpenAi, useIntegrations, trial, trialDays
 Prompts             |           18 | id, name, apiKey, prompt, maxTokens, temperature, promptTokens, completionTokens, totalTokens, createdAt, updatedAt, companyId, queueId, model, maxMessages, voice, voiceKey, voiceRegion
 QueueIntegrations   |           17 | id, type, name, projectName, jsonContent, urlN8N, companyId, language, createdAt, updatedAt, typebotSlug, typebotExpires, typebotKeywordFinish, typebotUnknownMessage, typebotDelayMessage, typebotKeywordRestart, typebotRestartMessage
 QueueOptions        |           10 | id, queueId, title, message, option, createdAt, updatedAt, parentId, mediaPath, mediaName
 Queues              |           15 | id, name, color, greetingMessage, createdAt, updatedAt, companyId, orderQueue, integrationId, promptId, schedules, closeTicket, startWork, endWork, absenceMessage
 QuickMessages       |           11 | id, shortcode, message, geral, mediaPath, mediaName, companyId, createdAt, updatedAt, userId, voiceRecordingPath
 Schedules           |           14 | id, body, sendAt, sentAt, contactId, ticketId, userId, companyId, createdAt, updatedAt, status, mediaPath, mediaName, idExterno
 SequelizeMeta       |            1 | name
 Settings            |            6 | key, value, createdAt, updatedAt, companyId, id
 Subscriptions       |           11 | id, isActive, createdAt, updatedAt, userPriceCents, whatsPriceCents, lastInvoiceUrl, lastPlanChange, providerSubscriptionId, companyId, invoiceId
 Tags                |            7 | id, name, color, kanban, createdAt, updatedAt, companyId
 TicketNotes         |            6 | id, note, userId, ticketId, createdAt, updatedAt
 TicketTags          |            4 | ticketId, tagId, createdAt, updatedAt
 TicketTraking       |           12 | id, ticketId, companyId, whatsappId, userId, createdAt, updatedAt, rated, startedAt, queuedAt, finishedAt, ratingAt
 Tickets             |           34 | id, status, lastMessage, contactId, userId, createdAt, updatedAt, whatsappId, isGroup, unreadMessages, queueId, companyId, uuid, chatbot, queueOptionId, amountUsedBotQueues, fromMe, useIntegration, integrationId, typebotSessionId, typebotStatus, promptId, sendInactiveMessage, maxUseBotQueues, lastMessageAt, closed, imported, lgpdacceptedat, amountUseBotQueuesNPS, lgpdsendmessageat, flowwebhook, flowStopped, datawebhook, statuschatend
 UserQueues          |            4 | userId, queueId, createdAt, updatedAt
 UserRatings         |            7 | id, ticketId, companyId, userId, rate, createdAt, updatedAt
 Users               |           16 | id, name, email, passwordHash, createdAt, updatedAt, profile, tokenVersion, companyId, super, online, startWork, endWork, whatsappId, locale, allTicket
 Webhooks            |            8 | id, name, url, events, active, companyId, createdAt, updatedAt
 WhatsappQueues      |            4 | whatsappId, queueId, createdAt, updatedAt
 Whatsapps           |           35 | id, name, session, qrcode, status, battery, plugged, createdAt, updatedAt, isDefault, retries, companyId, greetingMessage, farewellMessage, token, provider, isMultidevice, closedTicketsPostImported, importOldMessages, ratingMessage, sendIdQueue, timeUseBotQueues, expiresTicket, timeCreateNewTicket, complationMessage, outOfHoursMessage, promptId, collectiveVacationMessage, collectiveVacationStart, collectiveVacationEnd, maxUseBotQueues, timeUseBotQueuesNPS, expiresInactiveMessage, inactiveMessage, statusimportmessages
(46 rows)

